context,question,answer,source_url,category,title,org,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
。第二十七条　火灾事故调查工作中，调查人员应当诚信公正、恪尽职守，遵守调查工作纪律，保守事故调查秘密。未经批准，调查人员不得擅自对外发布火灾事故调查信息。第二十八条　火灾事故调查报告应当包括下列内容：（一）火灾事故发生单位概况；（二）火灾事故发生经过和应急处置情况；（三）火灾事故造成的人员伤亡和直接财产损失；（四）火灾事故的起火原因、灾害成因和性质；（五）火灾事故责任的认定；（六）对火灾事故发生单位、相关单位、非公职人员的处理建议；（七）追责问责的人员建议名单及责任事实；（八）火灾事故防范和整改措施建议及工作要求。火灾事故调查报告应当附具有关证据材料。调查组全体成员应当逐一确认调查报告并签名,"火灾事故调查报告中应当包括哪些内容？
",火灾事故调查报告应当包括火灾事故发生单位概况、火灾事故发生经过和应急处置情况、火灾事故造成的人员伤亡和直接财产损失、火灾事故的起火原因、灾害成因和性质、火灾事故责任的认定、对火灾事故发生单位、相关单位、非公职人员的处理建议、追责问责的人员建议名单及责任事实、火灾事故防范和整改措施建议及工作要求。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,根据提供的上下文，第二十八条详细列举了火灾事故调查报告应当包括的内容，从火灾事故发生单位概况到火灾事故防范和整改措施建议及工作要求，都有明确的要求。因此，根据上下文，可以清楚、明确地回答问题。,5.0,这个问题对于普通公民理解政策文件非常有用。了解火灾事故调查报告中应当包括的内容有助于公民掌握事故发生的详细情况，评估事故原因和后果，以及监督相关部门的调查工作。此外，这也有助于提高公民的安全意识和应对火灾的能力。,5.0,这个问题询问的是火灾事故调查报告的内容，这是一个具体的问题，它不依赖于任何特定的上下文或额外的信息就能被理解。这个问题本身具有明确的意义，并且对于需要了解火灾事故调查的人来说，问题的内容是直接相关的。
。围绕与火灾发生、蔓延扩大和人员伤亡有关的消防产品作用发挥情况，全面调查火灾报警、灭火设施、防烟排烟、防火分隔和安全疏散等消防产品的生产、销售、使用和维修等环节，查清消防产品是否符合国家法律法规和技术标准，是否存在质量问题，以及火灾中未有效发挥作用的原因和影响因素，查实消防产品各环节的主体责任；5.属地党委政府和相关职能部门责任。属地党委政府是否落实消防安全管理职责，行业部门是否落实消防安全监督管理职责；消防监督执法和灭火救援行动开展情况，是否存在消防监督执法不到位、不作为、乱作为等问题，灭火救援行动是否有需要改进之处；查实有关行业部门及基层组织等对火灾事故发生单位的消防安全监管职责落实情况,"什么是导致火灾蔓延扩大和人员伤亡的消防产品作用发挥情况调查的主要内容？
",主要内容包括火灾报警、灭火设施、防烟排烟、防火分隔和安全疏散等消防产品的生产、销售、使用和维修等环节。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,4.0,这个问题在给定的上下文中是可以通过详细的信息得到明确回答的。上下文提供了一个包括多个方面的调查框架，涵盖了导致火灾蔓延扩大和人员伤亡的消防产品作用发挥情况调查的主要内容。,3.0,这个问题对于普通公民来说有一定难度，因为它涉及到专业术语和复杂的调查内容。但是，它对于关心公共安全和希望了解政府如何监管消防产品的公民来说是有用的。问题涉及到火灾蔓延和人员伤亡的原因调查，这是公众安全的重要方面。因此，尽管对于不熟悉该领域的公民来说可能有些复杂，但该问题对于希望深入了解相关政策和监管措施的人来说是有帮助的。,2.0,问题直接询问的是关于特定情况下的消防产品作用发挥情况的调查内容，这些内容通常会受到特定火灾事故、具体的消防产品类型、使用情况以及相关法规标准等因素的影响。没有这些具体信息，问题本身难以提供一个确切的答案。
。第三十六条　有关机关、部门和事故发生单位、相关单位等，应当自接到批复之日起90日内，将有关责任追究情况、火灾事故防范和整改措施的落实情况书面报送做出批复的人民政府，并抄送负责跟踪督办的部门及相关行业主管部门。第四章　整改处理评估第三十七条　较大火灾事故调查结案届满1年，负责组织调查处理的人民政府应当成立评估组，组织开展有关责任追究情况、火灾事故防范和整改措施落实情况评估。第三十八条　评估组由负责组织调查处理的人民政府或负责牵头实施调查处理的消防救援机构负责人担任组长，参加火灾事故调查的有关部门派员组成，根据工作需要，评估组可以聘请相关专业技术服务机构或专家参加评估,"较大火灾事故调查结案后多久需要进行评估？
",较大火灾事故调查结案届满1年后，负责组织调查处理的人民政府应当进行评估。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,根据上下文，第三十七条规定了较大火灾事故调查结案届满1年后，负责组织调查处理的人民政府应当成立评估组进行评估。因此，该问题可以在给定上下文的情况下清楚、明确地回答。,,,,
。第二条　本细则适用于广安市行政区域范围内的火灾事故调查处理。法律、法规对军事设施、矿井地下部分，铁路、港航、民航设施以及森林、草原等火灾事故调查另有规定的，从其规定。确定为涉嫌放火犯罪的案件，依法由公安机关立案侦查。第三条　火灾事故调查处理应当坚持科学严谨、依法依规、实事求是、注重实效的原则，及时、准确地查清事故原因，认定事故性质和责任，评估应急处置工作，总结事故教训，提出整改措施，并对事故责任单位和人员提出处理建议,"广安市行政区域范围内适用于哪种火灾事故调查处理细则？
",广安市行政区域范围内适用于本细则的火灾事故调查处理。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,4.0,提供的上下文明确说明了广安市行政区域范围内适用的火灾事故调查处理细则的基本原则和一些基本要求，但并没有提供具体的细则文件名称或者具体条款。因此，可以回答问题，但是回答不是非常具体和明确。,3.0,这个问题涉及到特定地区的火灾事故调查处理细则，这对于广安市的居民来说可能并不是日常会接触到的信息。然而，对于从事消防安全、应急管理等相关工作的公民来说，了解这类细则对于提高火灾事故的处理效率和质量有重要意义。同时，对于任何可能涉及到火灾事故的个人或企业来说，了解相关调查处理细则也是保护自身权益的重要途径。,1.0,这个问题涉及到特定地区的火灾事故调查处理细则，这通常会因地区而异，因此需要具体的上下文信息来确定适用的细则。
。所称的“以上”含本数，“以下”不含本数。第四十五条　市县两级人民政府应当将火灾事故调查处理及整改处理评估所需的工作经费，纳入本级政府财政预算予以保障。第四十六条　本细则自2024年2月11日起施行，有效期5年。相关附件：广安府办规〔2023〕1号广安市火灾事故调查处理实施细则.pdf(/gasrmzfw/c104243/1748932043029323776/AFPUE3nE.pdf)二维码开始扫一扫在手机打开当前页用来校验该浏览器是否支持HTML5,"广安市火灾事故调查处理实施细则自何时起施行？
",广安市火灾事故调查处理实施细则自2024年2月11日起施行。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,上下文中明确提到“第四十六条　本细则自2024年2月11日起施行”，提供了具体的日期，因此可以直接回答问题。,4.0,这个问题对于普通公民理解政策文件非常有用。了解广安市火灾事故调查处理实施细则的施行时间，可以帮助公民了解在发生火灾事故时，相关调查和处理工作的具体规定和实施时间，保障其在火灾事故中的合法权益。此外，了解政策文件的施行时间也是公民参与社会管理和公共事务的一种表现，有助于提高公民的政策意识和法律意识。,3.0,这个问题询问的是广安市火灾事故调查处理实施细则的施行时间，这个信息可以直接从问题中获取，不依赖于任何特定上下文或额外的信息。
。第三十九条　评估组可采取资料审查、座谈问询、查阅文件、走访核查等方式开展评估，依据火灾事故调查报告，逐项对照防范和整改措施建议，重点评估以下内容：（一）火灾事故相关单位及发生地同类单位场所采取的防范和整改具体举措，以及取得的效果；（二）火灾事故责任单位和责任人员受到行政处罚、处理的落实情况，以及有关公职人员受到处分的落实情况；（三）火灾事故发生地人民政府及相关部门吸取事故教训，树牢安全发展理念，健全消防安全责任制，开展社会面宣传教育，以及举一反三加强消防工作情况,"评估组在依据火灾事故调查报告进行评估时，需要重点关注哪些内容？
",评估组在依据火灾事故调查报告进行评估时，需要重点关注以下内容：（一）火灾事故相关单位及发生地同类单位场所采取的防范和整改具体举措，以及取得的效果；（二）火灾事故责任单位和责任人员受到行政处罚、处理的落实情况，以及有关公职人员受到处分的落实情况；（三）火灾事故发生地人民政府及相关部门吸取事故教训，树牢安全发展理念，健全消防安全责任制，开展社会面宣传教育，以及举一反三加强消防工作情况。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,根据上下文中的第三十九条，评估组在依据火灾事故调查报告进行评估时，需要重点关注的内容已经明确列出，包括火灾事故相关单位的防范和整改措施及效果，责任单位和人员的处罚落实情况，以及政府和相关部门的安全发展理念、消防安全责任制、宣传教育和工作情况。因此，根据上下文可以清楚、明确地回答问题。,5.0,这个问题对于普通公民理解政策文件非常有用。它涉及到火灾事故调查报告，这是政策制定和执行中的一个重要环节。了解评估组在依据火灾事故调查报告进行评估时需要关注的内容，有助于普通公民理解政府如何处理事故、采取何种措施预防未来事故的发生，以及如何在紧急情况下保护自己和他人的安全。此外，这也体现了政府对公众安全的高度重视和负责任的态度。,,
。第二十条　综合组主要职责和任务是：（一）负责制定实施火灾事故调查工作方案，了解掌握各专门小组工作进度，提示需要补充调查的事项；（二）负责筹备召开火灾事故调查组相关会议；（三）负责统一报送和处理火灾事故调查的相关信息，草拟综合性文稿，做好文件资料收发、归档和证据资料管理等工作；（四）负责舆情信息收集汇总及分析，及时向火灾事故调查组提出应对舆情的建议；（五）负责对火灾事故调查组日常工作进行综合协调，做好后勤保障工作；（六）负责起草火灾事故调查报告，并提交火灾事故调查组全体会议讨论通过后向负责组织调查处理的人民政府提交；（七）负责完成火灾事故调查组安排的其他任务,"综合组负责多少项主要职责和任务？
",综合组负责七项主要职责和任务。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,根据上下文中的第二十条，综合组负责的职责和任务被明确列出，共包括七个方面的工作。这些工作内容包括制定调查方案、协调各小组工作、筹备会议、处理信息报送、收集舆情信息、进行日常协调以及草拟和提交调查报告等。因此，可以明确回答综合组负责七项主要职责和任务。,,,,
。围绕起火场所全面调查消防设计图纸技术审查、消防验收现场评定、消防设施维修保养、检测、消防安全评估和消防产品认证检验等环节，查清中介服务在执业过程中是否存在从业人员不具备执业资格、未执行中介服务技术标准等违法、违规行为，是否存在出具虚假执业文件的行为，注册消防工程师是否存在变造、倒卖、出租、出借，或者以其他形式转让职业资格证书、注册证、执业印章等行为，查实与火灾有关的中介服务主体责任和技术服务从业人员个人责任；4.消防产品质量责任,"2
",调查将查清中介服务在执业过程中是否存在从业人员不具备执业资格、未执行中介服务技术标准等违法、违规行为。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,,,,,,
。第三十五条　有关机关、部门应当按照人民政府的批复，按照法律、行政法规规定的权限和程序，对事故发生单位和负有火灾事故责任的工程建设、中介服务、使用管理和消防产品质量等责任单位及相关责任人员进行行政处罚；对负有事故责任的国家公职人员进行处理；涉嫌犯罪的，依法移送司法机关追究刑事责任。事故发生单位、相关单位应当按照人民政府的批复，依照法律、法规和规章规定的权限和程序，对本单位负有事故责任的人员进行处理,"依照第三十五条规定，哪些单位和人员应当受到行政处罚或处理？
",依照第三十五条规定，应当对事故发生单位和负有火灾事故责任的工程建设、中介服务、使用管理和消防产品质量等责任单位及相关责任人员进行行政处罚；对负有事故责任的国家公职人员进行处理。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,上下文中明确指出了哪些单位和人员应当受到行政处罚或处理，包括事故发生单位、负有火灾事故责任的相关单位、国家公职人员和负有事故责任的人员。因此，根据上下文可以清楚、明确地回答这个问题。,5.0,这个问题直接关联到具体的法律规定，对于希望了解相关法律条文及其应用的普通公民来说，具有相当的重要性。它有助于公民理解在特定情况下，哪些行为可能会导致行政处罚或处理，以及他们作为公民应该如何遵守相关法律。因此，这个问题对于普通公民理解政策文件非常有用。,5.0,这个问题直接引用了一个具体法规条文（第三十五条规定），并且询问的是该条文中确定的应当受到行政处罚或处理的单位和人员。由于这个问题是针对一个明确的法律条文提出的，它不依赖于特定的上下文信息，而是直接关联到法律文本的内容。因此，该问题可以独立于任何额外信息而被理解。
。围绕引发火灾的点火源、可燃物、蔓延路径和人员伤亡等要素，全面调查起火场所在消防安全承诺制落实、员工消防安全培训教育、消防安全制度制定落实、消防设施维护运行、消防控制室值班人员持证上岗及临机处置、安全疏散设施管理、用火用电用气安全管理、消防安全检查巡查、火灾应急疏散演练和微型消防站火灾处置等方面存在的问题，逐一查实起火场所的使用管理主体责任；2.工程建设责任,"全面调查起火场所时需要检查哪些方面的存在的问题？
",全面调查起火场所时需要检查的方面包括消防安全承诺制落实、员工消防安全培训教育、消防安全制度制定落实、消防设施维护运行、消防控制室值班人员持证上岗及临机处置、安全疏散设施管理、用火用电用气安全管理、消防安全检查巡查、火灾应急疏散演练和微型消防站火灾处置等方面存在的问题。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1748932043029323776.html,公安、安全、司法,广安市人民政府办公室关于印发《广安市火灾事故调查处理实施细则》的通知,广安市人民政府办公室,5.0,根据提供的上下文，问题中所询问的方面已经明确列出，包括点火源、可燃物、蔓延路径和人员伤亡等要素的相关问题，以及具体到起火场所的各个消防安全方面的检查点。上下文提供了详细的信息，几乎涵盖了起火场所调查的所有关键方面，因此可以根据上下文清楚、明确地回答问题。,4.0,这个问题对于普通公民理解政策文件非常有用。它涉及到公共安全，特别是在火灾调查方面，这是一个直接影响人们生活和财产安全的议题。了解在全面调查起火场所时需要检查哪些方面的存在的问题，有助于公民了解火灾调查的严肃性和复杂性，提升火灾防范意识，同时也能在发生火灾时提供有助于调查的信息。,5.0,这个问题是关于火灾调查的专业知识，它不是依赖于特定上下文或信息的，而是具有普遍性和专业性。它提出了一个具体的调查领域，并询问了关于该领域调查的具体内容，是一个独立且有意义的提问。
