context,question,answer,source_url,category,title,org
。（三）扶持病死畜禽无害化处理体系建设。在积极争取国家专项补助的同时，按规划建设的病死畜禽专业无害化处理中心，达到相关建设标准并经省级验收合格的，由市级财政给予一定的设备补助，另对处理中心所在区市县（园区）给予一定补助。按规划建设的病死畜禽无害化处理收集点、收集暂存点、集中存放点，由所在地的区市县人民政府、园区管委会自行给予补助。收集运行费用，由县级（园区）财政全额预算解决。按规划购置的病死畜禽无害化处理收集转运专用车辆，用于区市县（园区）内转运的，由区市县人民政府、园区管委会给予一定补助；用于处理中心转运的，由市级财政给予一定补助。（四）落实保险联动政策,"何种类型的体系建设得到了政策扶持？
",政策扶持的是病死畜禽无害化处理体系建设。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
"d=""data-article-sxp""></ul></div>上下篇E数字人加载中...数字人css数字人js<scripttype=""text/javascript""src=""/gasrmzfw/pc2023/js/FileSaver.js""></script><scripttype=""text/javascript""src=""/gasrmzfw/pc2023/js/jquery.wordexport.js""></script>相关信息S(javascript:;)(javascript:;)","What type of script is being used in the context provided?
",The scripts being used in the context provided include FileSaver.js and jquery.wordexport.js.,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。（四）落实保险联动政策。引导和鼓励畜禽养殖者积极参加养殖业保险，做到应保则保、能保则保。保险公司要配合相关部门督促养殖户依照国家规定对病死标的进行无害化处理，并将无害化处理作为理赔的前提条件，不能确认无害化处理的，不予赔偿。四、进一步健全监管机制（一）建立健全监督举报奖励机制。向社会公布举报电话，鼓励群众和新闻媒体对抛弃、收购、贩卖、屠宰、加工病死畜禽等违法行为进行监督和举报。（二）建立健全监控体系,"何种类型的政策被提及以便于鼓励养殖业者参与保险？
",提到了养殖业保险，并且鼓励养殖者积极参与。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。（二）建立健全监控体系。畜禽养殖者负责及时报告畜禽死亡情况，村级动物防疫员接报后第一时间到场查看，乡镇畜牧兽医站派人现场核实，县动物卫生监督所负责收集点、收集暂存点、集中存放点和无害化处理中心的监督管理，市、县（园区）农业（畜牧）部门负责无害化处理工作的监督检查。保险公司负责勘验、理赔。（三）建立健全联防联打机制。农业（畜牧）、食品药品监管、环境保护、公安、工商等部门要紧密配合，建立区域和部门联防联打机制，健全违法案件信息共享、案情通报、案件移送制度。要加大对抛弃、收购、贩卖、屠宰、加工病死畜禽及其产品等违法犯罪行为的侦办、查处力度,"畜禽养殖者需要报告哪些情况？
",畜禽养殖者需要报告畜禽死亡情况。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。（二）建立其他病死畜禽无害化处理补助政策。对国家尚未明确补助政策的其他病死畜禽的无害化处理，按家禽2元/只、羊80元/只、牛500元/头的标准，补助给无害化处理中心，其中30%用于补助收集环节。前述补助标准中的60%由区市县（园区）财政负担，40%由市级财政负担。突发动物疫情、强制免疫死亡的畜禽，江河湖泊和城市乡村乱扔乱抛的动物尸体、执法检查发现的病死畜禽无害化处理费用，依照（一）、（二）所列标准执行。（三）扶持病死畜禽无害化处理体系建设,"建立其他病死畜禽无害化处理补助政策的具体补助标准是多少？
",按家禽2元/只、羊80元/只、牛500元/头的标准补助给无害化处理中心。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。要加强行政执法与刑事司法衔接，涉嫌构成犯罪的，要及时移送公安机关依法立案侦查；对公安机关查扣的病死畜禽及其产品，在固定证据后，有关部门要及时组织做好无害化处理工作，切实保障食品安全和生态环境安全，维护公共卫生安全。（四）建立健全监管制度。加快建立健全病死畜禽及病害畜禽产品报告、收集、转运、处理、副产物流向全程监管制度。广安市人民政府办公室2015年12月22日相关附件：二维码开始扫一扫在手机打开当前页用来校验该浏览器是否支持HTML5,"怎样确保病死畜禽及病害畜禽产品的食品安全和生态环境安全？
",通过加强行政执法与刑事司法衔接，及时移送涉嫌构成犯罪的案件给公安机关立案侦查；对公安机关查扣的病死畜禽及其产品，在固定证据后，有关部门要及时组织做好无害化处理工作，以保障食品安全和生态环境安全，维护公共卫生安全。同时，需要建立健全病死畜禽及病害畜禽产品报告、收集、转运、处理、副产物流向全程监管制度。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。食品药品监督部门负责动物产品生产、加工企业及其贮藏、流通、消费、餐饮等环节动物和动物产品的监管工作，防止病死畜禽流入生产加工企业、市场和餐饮饭店。公安、发展改革、财政、卫生计生、环境保护、工商、税务等相关部门要在各自职责范围内加强相关环节的监管，并在税收、项目、资金上支持。相关监管部门要与有关监管对象签订病死畜禽无害化处理责任书，明确监管责任人和监管负责人，落实网格化管理措施，不留空白和死角，做到无缝监管,"（食品药品监督部门的主要职责是什么？）
",（食品药品监督部门负责动物产品生产、加工企业及其贮藏、流通、消费、餐饮等环节动物和动物产品的监管工作。）,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
问：无害化处理有哪些支持政策？ 答：（一）养殖环节及屠宰场待宰期间死亡的生猪，按80元/头给予补助；（二）屠宰过程中经检疫或肉品品质检验确认为不可食用的生猪产品按90公斤折合1头，按80元/头给以补助。（三）其他国家尚未明确补助政策的病死畜禽，按照家禽2元/只、羊80元/只、牛500元/头给予补助；（四）按照“谁处理、补给谁”的原则，无害化处理补助资金由县级农业农村主管部门统一发放,"哪些政策支持无害化处理？
",支持无害化处理的政策有：1. 养殖环节及屠宰场待宰期间死亡的生猪，按80元/头给予补助；2. 屠宰过程中经检疫或肉品品质检验确认为不可食用的生猪产品按90公斤折合1头，按80元/头给以补助；3.其他国家尚未明确补助政策的病死畜禽，按照家禽2元/只、羊80元/只、牛500元/头给予补助；4.按照“谁处理、补给谁”的原则，无害化处理补助资金由县级农业农村主管部门统一发放。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
。（二）生产经营者主体责任。从事畜禽饲养、屠宰、经营、中转、运输以及动物产品生产、经营、加工、运输和动物诊疗活动的单位和个人，是病死畜禽无害化处理的第一责任人，承担主体责任，负有对病死畜禽及时进行无害化处理和向有关部门和单位报告畜禽死亡及无害化处理情况的义务。任何单位和个人不得抛弃、收购、贩卖、屠宰、加工病死畜禽。（三）相关部门监管责任。农业（畜牧兽医管理）部门主要负责畜禽养殖、收购、运输、屠宰等环节的检疫监管，负责病死畜禽无害化处理各环节的监管和监督执法，负责病死畜禽无害化处理行业管理,"从事畜禽饲养、屠宰、经营、中转、运输以及动物产品生产、经营、加工、运输和动物诊疗活动的单位和个人在病死畜禽无害化处理中承担什么责任？
",从事畜禽饲养、屠宰、经营、中转、运输以及动物产品生产、经营、加工、运输和动物诊疗活动的单位和个人是病死畜禽无害化处理的第一责任人，承担主体责任，负有对病死畜禽及时进行无害化处理和向有关部门和单位报告畜禽死亡及无害化处理情况的义务。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
问：无害化处理的种类有哪些？ 答：（一）染疫或者疑似染疫死亡、因病死亡或者死因不明的；（二）经检疫、检验可能危害人体或者动物健康的；（三）因自然灾害、应激反应、物理挤压等因素死亡的；（四）屠宰过程中经肉品品质检验确认为不可食用的；（五）死胎、木乃伊胎等；（六）因动物疫病防控需要被扑杀或销毁的；（七）其他应当进行无害化处理的。,"无害化处理的原因有哪些？
",无害化处理的原因包括染疫或者疑似染疫死亡、因病死亡或者死因不明的、经检疫、检验可能危害人体或者动物健康的、因自然灾害、应激反应、物理挤压等因素死亡的、屠宰过程中经肉品品质检验确认为不可食用的、死胎、木乃伊胎等、因动物疫病防控需要被扑杀或销毁的和其他应当进行无害化处理的。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733363039396171776.html,农业、林业、水利,广安市人民政府办公室关于进一步加强病死畜禽无害化处理工作的通知,广安市人民政府办公室
